aspect,negative,neutral,positive,total
Easy and fun to operate and fantastic picture quality,0,0,1,1
other SONY headphones,0,0,1,1
other RF devices,1,0,0,1
Easy connections,0,0,1,1
Easy charging,0,0,1,1
Easy charger,0,0,1,1
Easy cable management,0,1,0,1
Easy sound quality,0,0,1,1
"Easy mounting, long lasting battery",0,0,1,1
Easy mounting great quality,0,0,1,1
Easy mountable,0,0,1,1
Easy internet hookup,0,0,1,1
"Easy hook up, instant sound quality improvement",0,0,1,1
Easy factory replacement,0,1,0,1
"Easy enough to put together, well constructed, good fasteners",0,0,1,1
Easy diy project,0,1,0,1
other USB Ethernet dongles,0,1,0,1
other USB DAC products,0,0,1,1
other USB 2 cards,0,1,0,1
other Tech,0,1,0,1
other TV brands,0,0,1,1
other Surface Pro 3 chargers,1,0,0,1
other Soundbar,0,1,0,1
other Soundavo or Airplay devices,0,1,0,1
audio experts.<br />I,0,0,1,1
audio equipment(CD player,0,1,0,1
audio outlet,0,1,0,1
audio or cam apertures,0,1,0,1
audio option,0,0,1,1
audio nuts),0,1,0,1
audio monitoring,0,0,1,1
audio mixing,0,1,0,1
audio mixers,0,1,0,1
"Well built, great value",0,0,1,1
"Well built, good 'feel",0,0,1,1
Easy and fast setup,0,0,1,1
Easy and discreet safety camera,0,0,1,1
Easy and cheap setup,0,0,1,1
Easy and cheap improvement,0,0,1,1
Easy on and of and a completely secure grip,0,0,1,1
other USB3 sticks,0,1,0,1
other USB,0,0,1,1
other UBNT technologies,0,0,1,1
other USB-C Anker cables,0,1,0,1
other USB-A devices,0,0,1,1
other USB wireless products,0,1,0,1
other USB storage,0,1,0,1
other USB source,0,1,0,1
other USB sound cards,0,0,1,1
other USB powered devices,0,1,0,1
other USB power adaptors,0,0,1,1
other USB peripherals,0,1,0,1
other WinCE based GPS software,1,0,0,1
other WD equipment,0,0,1,1
audio heaven,0,0,1,1
audio functions,0,0,1,1
other affordable SSD,0,0,1,1
other Ubiquiti equipment,0,0,1,1
Easily the nicest aux cable,0,0,1,1
Easily the cheapest high-speed option,0,0,1,1
Easily the best product,0,0,1,1
Easily the best performance,0,0,1,1
Easily the best compact digital camera,0,0,1,1
Easily the best charger cables,0,0,1,1
Easily the best case,0,0,1,1
Easy buttons,0,1,0,1
Easy button controls,0,1,0,1
Easy bluetoothing,0,1,0,1
Easy applications,0,0,1,1
Easy app use,0,0,1,1
Easy and very fast USB,0,0,1,1
Easy and quick assembly,0,0,1,1
other android devices,0,0,1,1
other and security system,0,0,1,1
other auxiliary cables,0,1,0,1
other automatic features,0,0,1,1
other audiophile headphones,0,0,1,1
other USB-powered devices,0,0,1,1
other USB-C device,0,1,0,1
other amenities,0,0,1,1
other all hard plastic earphones,0,0,1,1
other affordable camera systems,1,0,0,1
Earpod’s mediocre sound,1,0,0,1
Easy activation,0,0,1,1
Easy Setup great video,0,0,1,1
"Easy Hook up, Great Quality",0,0,1,1
Easy DIY replacement,0,0,1,1
Easy BlueTooth,0,1,0,1
Easiest electronic device,0,0,1,1
Easiest Device,0,0,1,1
Easier storage,0,0,1,1
other audio jacks,0,1,0,1
other audio cables,0,0,1,1
other attached drives,0,1,0,1
other arduino boards,0,0,1,1
other battery operated mouse,0,0,1,1
other adapter,0,1,0,1
other accessory,0,1,0,1
other apps.<br,0,0,1,1
other apple products,0,0,1,1
other apple dongles,0,1,0,1
other anker products,0,1,0,1
other animal usb,0,0,1,1
other android phones,0,0,1,1
other battery chargers,0,1,0,1
other battary sizes,0,0,1,1
Ear Cushions / Pads,0,0,1,1
Earphone case,0,1,0,1
Earpad/10,0,0,1,1
Early failure rate,0,1,0,1
Earbuds Headphones,0,0,1,1
other basic needs,0,0,1,1
other basic electronics components,0,0,1,1
other audio/visual products,0,0,1,1
Ear protection,0,1,0,1
Ear pods,0,0,1,1
Easily replaceable part,0,0,1,1
Easily managed controls,0,0,1,1
Easily manageable Protective Case,0,0,1,1
"Easily installed, good sound",0,0,1,1
"Well constructed, strong mount",0,0,1,1
"Well constructed, practical, great product",0,0,1,1
Well made and nice paint job,0,0,1,1
Well made and great sound,0,0,1,1
Well made and great service,0,0,1,1
Well made and great length,0,0,1,1
Well made and good quality sound,0,0,1,1
Well made and good quality,0,0,1,1
Well made and fantastic sound quality,0,0,1,1
Well made and easy folding,0,0,1,1
Well made and durable...worth,0,0,1,1
audio depth,0,1,0,1
audio curiosities,1,0,0,1
other battery operated cameras,1,0,0,1
other battery draining features,0,1,0,1
other battery devices,0,0,1,1
Each projector,0,1,0,1
other bluetooth earplugs,1,0,0,1
other bluetooth earpieces b4,0,1,0,1
other bluetooth earbuds,0,0,1,1
other bluetooth accessories,0,1,0,1
other blue-tooth earbuds,1,0,0,1
other blue tooth devices,1,0,0,1
Each pad,0,1,0,1
"Each low profile key, optimized key travel and chiclet keycaps design",0,0,1,1
Each knob,0,1,0,1
Each keystroke,0,1,0,1
Each key press,0,1,0,1
Ear piece,0,0,1,1
Ear pad replacements,0,1,0,1
Well desgiend hardware,0,0,1,1
"Well constructed, tight tolerances",0,0,1,1
EXCELLENT video and picture quality.<br />TONS,0,1,0,1
Each individual charger,0,0,1,1
Each iPad,0,1,0,1
Each ear buds,0,0,1,1
other big projectors,0,0,1,1
other big electronics stores,0,1,0,1
other big brand name projectors similar size,0,1,0,1
other battery replacements,0,0,1,1
other brand cables,0,0,1,1
other brand adapters.<br />Good stuff,0,0,1,1
other brand TVs,0,0,1,1
other bone conduction headphones,0,1,0,1
other bodies/lenses,0,1,0,1
Each components,0,1,0,1
Each USB site,0,1,0,1
Each usb port,0,0,1,1
other budget VCRs,0,1,0,1
other brands/units,0,0,1,1
other brands/styles,0,0,1,1
other brands.<br />Nice slim size,0,0,1,1
other brands tablet,0,0,1,1
other camera systems,0,0,1,1
other bluetooth stuff)<br,0,0,1,1
other bluetooth sources,0,1,0,1
other bluetooth options,0,0,1,1
other bluetooth keyboards,0,1,0,1
other brands VCR.<br />I,0,0,1,1
other brand usb-c docks,0,1,0,1
other brand speakers,0,1,0,1
other brand phones,1,0,0,1
other brand panels,0,1,0,1
"EXCELLENT, PERFECTLY CUTE LITTLE  LAPTOP SPEAKERS",0,0,1,1
EXTREMELY COMFORTABLE,0,0,1,1
EXTRA FEATURES,0,0,1,1
other camera accessories,0,0,1,1
other cables.<br,0,0,1,1
other cables).<br />Material,0,0,1,1
other cabled devices,0,1,0,1
other charging cases,0,1,0,1
other charging adapters,0,0,1,1
other brand name radios,0,1,0,1
other brand name devices,0,0,1,1
other brand drives,1,0,0,1
other cable options,0,0,1,1
other bulky things,0,1,0,1
other built-in camera mic,0,0,1,1
other budget screen protector films,0,0,1,1
other budget monitors,0,1,0,1
EXCELLENT device,0,0,1,1
EXCELLENT charger,0,0,1,1
EXCELLENT MONITOR,0,0,1,1
EXCELLENT EQUIPMENT,0,0,1,1
EXCELLENT CAMERAS,0,0,1,1
EXCELLENT CAMERA,0,0,1,1
EXCELLENT AUDIO,0,0,1,1
other charger cables,0,0,1,1
other charge cases,0,0,1,1
EXCELENTE RELACION PRECIO CALIDAD,0,1,0,1
EX-S600(Great size,0,1,0,1
EVGA's motherboards,1,0,0,1
Each USB port,0,1,0,1
"Each ""system",0,1,0,1
EXTREMELY SATISFIED,1,0,0,1
EXTREMELY LIGHTWEIGHT,0,0,1,1
audio and studio recording,0,1,0,1
audio and picture quality issues,1,0,0,1
"audio confection"".<br",1,0,0,1
audio capture,0,0,1,1
audio entertainment,0,1,0,1
audio enhancements,0,1,0,1
audio engineering,0,0,1,1
audio electronics,0,0,1,1
audio difference,1,0,0,1
Well designed and sturdy cable,0,0,1,1
Well designed and functional controls,0,0,1,1
other charges,0,0,1,1
EVERY Micro SD,0,0,1,1
EVERY CORD,1,0,0,1
EVDO/cellular data,1,0,0,1
EXCELLENT picture quality,0,0,1,1
other comparable projector screens,0,0,1,1
EQ/DSP,0,1,0,1
other cell phone,0,0,1,1
other car manufacturers,0,0,1,1
other cheap quality ones,0,0,1,1
other cheap plastic feeling keyboard cases,0,0,1,1
other cheap headphones.<br />These headphones,0,0,1,1
other cheap generic lightning cable,0,0,1,1
other cheap cords,0,1,0,1
other cheap SSD,0,0,1,1
other cheap GoPro accessories kit,0,0,1,1
other common devices,0,1,0,1
other common cables,0,1,0,1
other clock radios,0,1,0,1
other chips,0,0,1,1
audio and video changes,0,0,1,1
EVERY RESPECT - SOUND QUALITY,0,0,1,1
other comparable parts,0,1,0,1
other comparable cables,0,0,1,1
other compacts,0,0,1,1
other compact speakers,0,0,1,1
other compact keyboards,0,0,1,1
other cord brands,0,1,0,1
other cheaper looking ones,0,1,0,1
other cheaper batteries,0,1,0,1
other cheaper axillary cables,1,0,0,1
other cheap third-party cables,0,0,1,1
other components.<br,0,0,1,1
other compliant devices,0,1,0,1
other competitors mouses,0,0,1,1
other compatible devices.<br,0,1,0,1
other compatible Logitech gear,0,0,1,1
EFFICIENT,0,0,1,1
ECG features,0,0,1,1
EASY ACCESSABLE INFORMATION,0,0,1,1
EU/Asia)<br /><br />USB charging,0,0,1,1
EU tuning,0,1,0,1
ES products,1,0,0,1
other connected devices,0,1,0,1
EPG features,0,0,1,1
EPA standards,0,0,1,1
ENOUGH FEATURES,0,0,1,1
EVERY phone jack,0,1,0,1
EVERY part,0,0,1,1
EVERY outlet,0,0,1,1
EVERY digital camera,0,1,0,1
EVERY baby gadget,0,0,1,1
EVERY SINGLE CHARGING CORD STILL WORKS,0,0,1,1
other demanding software,0,1,0,1
other demanding applications,0,0,1,1
other dashcams,0,0,1,1
other dashboard cubbies,0,1,0,1
E6520 i7,0,0,1,1
E6000,0,1,0,1
E6 battery,1,0,0,1
E5 High-Capacity 16750mAh 3A,0,1,0,1
ELECTRONICS,1,0,0,1
EK's products,0,0,1,1
other cool features,0,0,1,1
other cool devices,0,0,1,1
other cool apps,0,0,1,1
other consumer grade network products,0,1,0,1
other consumer Wi-Fi products,0,0,1,1
EH-5 EH-5A AC Power Adapter,0,1,0,1
"Well designed, very good length",0,0,1,1
"Well made, great size",0,0,1,1
"Well made, great fit",0,0,1,1
"Well made, good looking short cables.<br />I",0,0,1,1
"Well made, good fit",0,0,1,1
"Well made, fit perfectly, good right connection",0,0,1,1
"Well made, excellent magnification",0,0,1,1
"Well made, easy to assemble, attractive computer case",0,0,1,1
audio and video inputs,0,1,0,1
audio and video files,0,1,0,1
audio and video file,0,1,0,1
other configurable features,0,1,0,1
other computer equipment,0,0,1,1
other computer accessories.<br,0,0,1,1
other computer accessories,1,0,0,1
other designers type,0,1,0,1
other electronic items,0,1,0,1
EIA/TIA component specifications,0,1,0,1
EIA rack mountable stereo components,0,1,0,1
other customized styles,0,0,1,1
other cube charger,0,0,1,1
other crazy equipment.<br,1,0,0,1
other cords time,0,0,1,1
other digital media,0,0,1,1
other device pursuits.<br,0,0,1,1
other device items,0,0,1,1
other earpods,0,1,0,1
other earpieces,0,1,0,1
"Well made , high quality cables",0,0,1,1
Well machined parts,0,0,1,1
Well engineered design and heavy-duty construction,0,0,1,1
Well designed; attractive pebbled “leather” look,0,0,1,1
Dynamo 800X,0,1,0,1
Dvd drives,0,1,0,1
Duration : 20s 320ms,0,1,0,1
other earphone,1,0,0,1
Durable<br,0,0,1,1
Durable.<br />I,0,0,1,1
"Durable, well-made, nice leather clip",0,0,1,1
"Durable, well-made product",0,0,1,1
"Durable, two ways",0,0,1,1
EARPHONES,0,1,0,1
EAR CANAL buds,0,1,0,1
EACH EAR,0,1,0,1
other earbud cables,0,1,0,1
other eSATA devices,0,0,1,1
other electronic signals,0,1,0,1
other electronic needs,0,0,1,1
other entertainment apps,0,0,1,1
other electronics:<br,0,0,1,1
other electronics.<br,0,0,1,1
other electronics suppliers,0,1,0,1
other electronic devices.<br,0,0,1,1
other electronic components,0,1,0,1
"Durable, great length",0,0,1,1
"Durable, great idea",0,0,1,1
"Durable, good length",0,0,1,1
"Durable, functionality",0,0,1,1
"Durable, fast, everything",0,0,1,1
"Durable, don’t fray",0,0,1,1
"Durable, compact, good range",0,0,1,1
E360 and E360K models,1,0,0,1
E-600,0,0,1,1
E&B Electronics,1,0,0,1
other gear charge,0,0,1,1
other fun electronics,0,1,0,1
Durable stickers,1,0,0,1
Durable screen material,0,0,1,1
Durable protection,0,1,0,1
Durable nice product,0,0,1,1
other electronic beauty tools,0,0,1,1
other electronic accesories,0,0,1,1
other electrical items,0,1,0,1
other electrical cords,0,0,1,1
other electric and magnetic devices,0,1,0,1
other expensive cameras,0,1,0,1
other expansive  smart watches,0,0,1,1
other equipments,0,1,0,1
other equally impressive components,0,0,1,1
other entry level plastic case SSD,0,0,1,1
"Durable, high visibility color",0,0,1,1
"Durable, high tech",0,0,1,1
"Durable, heavy duty",0,1,0,1
other folio-style,1,0,0,1
other flimsy ones,0,0,1,1
other flimsier brands,0,0,1,1
other flat eletronics,0,1,0,1
other fitable items.<br />  • small side pocket,0,0,1,1
other fast-charge adaptors,0,0,1,1
other fast charging devices,0,1,0,1
other external storage,0,0,1,1
other external devices,0,1,0,1
other external  audio device,0,1,0,1
other expensive wireless headphones,0,0,1,1
other expensive headphones,1,0,0,1
other general headsets,0,0,1,1
other good features,0,0,1,1
other good cables,0,0,1,1
other good P&S cameras,0,0,1,1
other gizmos and devices attachments,0,0,1,1
other generic gaming keyboards,1,0,0,1
other generic batteries,0,1,0,1
other headphones.<br /><br />The operation,0,0,1,1
other headphone adapters,0,0,1,1
other hardwire kits,0,0,1,1
Durable cords,0,1,0,1
Durable materials,0,0,1,1
"Durable, stylish",0,0,1,1
"Durable, sticks",0,0,1,1
"Durable, soft, and good quality",0,0,1,1
"Durable, professional brief case",0,1,0,1
"Durable, product",0,1,0,1
audio ability,0,0,1,1
audio L,0,1,0,1
audio / 4k video,0,0,1,1
audio + build quality,0,0,1,1
audible tone,0,1,0,1
audible functionality,0,1,0,1
audible alarms,1,0,0,1
audio and/or video,1,0,0,1
audio and video streaming,0,0,1,1
audio and video sources,0,0,1,1
audio and video passthrough,0,1,0,1
Well made - excellent design,0,0,1,1
other great tablet items,0,0,1,1
other great feature,0,0,1,1
other good-value mp3 players,0,0,1,1
other good name brands,0,0,1,1
Durable charging cords,0,1,0,1
Durable charging cable,0,1,0,1
"Durable, case",0,1,0,1
"Durable, Fast Charging",0,0,1,1
"Durable, Easy",0,0,1,1
Durable wire,0,1,0,1
Durable unit,1,0,0,1
Durable thickness,0,1,0,1
Durable structure,0,1,0,1
other hardware companies,0,1,0,1
other harddrive makers,0,0,1,1
other high speed applications,0,0,1,1
other high quality sound card,0,1,0,1
other high end unit,0,0,1,1
other high end headset,1,0,0,1
audio and USB power,0,0,1,1
other highly recommended cables,0,0,1,1
other higher megapixel cameras,1,0,0,1
other high-performance applications,0,0,1,1
other high end brand,0,0,1,1
other high demanding LAN and Wifi devices,0,1,0,1
other hidden cameras,0,0,1,1
other hi end brand,0,0,1,1
other health tracking,0,0,1,1
other headsets.<br />I,0,0,1,1
other headsets.<br,0,0,1,1
other iOS Android Phones,0,1,0,1
other i device,0,0,1,1
other hybrid cameras,0,1,0,1
other household devices,0,1,0,1
Durable and roomy case,0,1,0,1
Durable and perfect size,0,0,1,1
other iPhone charger cables,0,1,0,1
other keyboard keys,1,0,0,1
other keybindings,0,0,1,1
other internals,0,1,0,1
Durable and perfect length,0,0,1,1
Durable and modern-looking upright multi-charger,0,1,0,1
Durable and long... 😉,0,1,0,1
Durable and light weight,0,0,1,1
Durable and great value,0,0,1,1
Durable looking,0,0,1,1
Durable housing,1,0,0,1
Durable headphones,0,1,0,1
Durable hard case,0,1,0,1
Durable handles,0,0,1,1
Durable good looks,0,0,1,1
Durable fabric,0,1,0,1
other late gen intel boards,0,1,0,1
other large smartwatches,0,0,1,1
other laptop models,0,0,1,1
Durable and fast charging,0,0,1,1
Durable and excellent range,0,0,1,1
Durable and attractive nylon outer coverings,0,0,1,1
Durable These,0,0,1,1
other high-end headphones,0,1,0,1
other high-end gaming peripherals,0,0,1,1
other high-end brands,0,0,1,1
other input device,0,0,1,1
other inexpensive cords,0,0,1,1
other industrial equipment,0,1,0,1
other indoor security cameras,0,0,1,1
other indoor cameras,0,1,0,1
other important functions,0,0,1,1
Durable body,1,0,0,1
Durable and worth the purchase,0,0,1,1
Durable and well worth the money,0,0,1,1
Durable and sound quality,0,0,1,1
Durable and soft leather,0,0,1,1
Durable and small<br /><br />We,0,1,0,1
other laptop accessories,0,0,1,1
other keyfinders,0,0,1,1
other lower quality video,0,0,1,1
other low-res HD sources,0,1,0,1
other low quality,1,0,0,1
other internal and external hard drives,0,1,0,1
other interesting designs,0,0,1,1
other instant cameras,0,1,0,1
other lighting accessories,0,0,1,1
other lcd tvs,0,0,1,1
"attractive, high quality product",0,0,1,1
attractive looking cables,0,0,1,1
attractive look,0,0,1,1
attractive display,0,0,1,1
attractive cover,0,0,1,1
attractive connectors,0,0,1,1
attractive brushed aluminum,0,0,1,1
attractive and light weight,0,0,1,1
attractive aged leather,0,0,1,1
attractive accessory,0,0,1,1
audio and loudness boost,0,0,1,1
Durable Fast Small Cheap,0,0,1,1
Durable Colorful and great size,0,0,1,1
Durable Build,0,1,0,1
Durable build quality,0,1,0,1
Durable build,0,1,0,1
other mini devices,0,0,1,1
other low priced cables,0,1,0,1
other long range transceivers,0,0,1,1
other long USB cables,0,1,0,1
other logitech mouses,1,0,0,1
Dual USB Car Charger [Black/Gold,0,1,0,1
Durable and great sound quality,0,0,1,1
Durable and great color options,0,0,1,1
Durable and good size,0,0,1,1
Durable and good price point,0,0,1,1
Durable and good looking,0,0,1,1
Durable and good cord length,0,0,1,1
other logitech devices,1,0,0,1
other little holiday electronic gadgets,0,0,1,1
athe Sony,0,0,1,1
"attractive, solid quality",0,0,1,1
Dual camera....amazing.  apps,0,0,1,1
other microphones,0,1,0,1
other mic cables,1,0,0,1
other memory vendors,0,1,0,1
other lightning cables,1,0,0,1
other mechanical keyboard,0,0,1,1
other mass storage,0,0,1,1
other manufactures NVRs,0,1,0,1
other manufacturers drones,0,1,0,1
other manufacturer batteries,0,0,1,1
other management features,0,1,0,1
other major-brand unit,0,1,0,1
other mobile devices,0,0,1,1
other miscellaneous network devices,0,0,1,1
other misc electronics,0,0,1,1
other mini moniters,0,0,1,1
Drive tray,0,1,0,1
Drive size,0,1,0,1
other monitoring programs,0,1,0,1
other modules,0,0,1,1
other model Zumimall cameras,0,1,0,1
other mini USB items,0,0,1,1
other mid priced headphones,0,1,0,1
Dragontouch Notepad y80 tablet,0,1,0,1
Dragon's microphone,1,0,0,1
Dr.Dre headphones,0,1,0,1
Durability<br />My kid,0,0,1,1
Durability/sturdiness,0,0,1,1
Durability sturdiness,0,0,1,1
Dumb feature,1,0,0,1
Dumb design,1,0,0,1
Dull Reviews,0,0,1,1
other multi socket applications,0,0,1,1
other much higher priced models,0,0,1,1
Dolby B,1,0,0,1
Doorbell/camera,0,0,1,1
DolbyHD,0,0,1,1
other mouse pads,0,1,0,1
other mouse,0,0,1,1
other non ubnt devices.<br,0,0,1,1
other mediabridge products,0,0,1,1
other motherboards,0,1,0,1
other motherboard components,1,0,0,1
other more expensive recharchable batteries,0,1,0,1
other more expensive keyboards,0,0,1,1
Dolby audio,0,0,1,1
Dolby Vision and Dolby Atmos or DTS X sound,0,0,1,1
Driver Unit,0,1,0,1
Well made camera,0,0,1,1
Well made and very good info<br />for,0,0,1,1
Well made and quality connectors,0,0,1,1
Well made...great size,0,0,1,1
"Well made,very smart, great sound",0,0,1,1
"Well made, work",0,0,1,1
"Well made, very light weight",0,0,1,1
"Well made, very functional item",0,0,1,1
"Well made, thick wire",0,0,1,1
"Well made, sturdy, strong materials",0,0,1,1
atmospheric electronic,0,1,0,1
atleast 12 or 16gb memory card,0,0,1,1
other nearby access points,0,1,0,1
other name brand cables,0,0,1,1
other music devices,0,1,0,1
other multimedia devices.<br,0,0,1,1
other non-Apple products,0,1,0,1
other non Apple chargers,0,0,1,1
